# Curated mega-IPO / record-IPO comparable set (plan.md §4.7).
# Static facts hand-assembled from prospectuses, exchange notices, and Ritter/Jay-Ritter IPO data;
# proceeds are NOMINAL gross (base deal, greenshoe noted separately). first_day_return is the
# debut-session close vs IPO price. ret_1y_abs is the ~1-year total return measured from the IPO
# PRICE (not the first-day close), from public price history — an illustrative figure, documented
# as curated in the methods appendix, not a causal estimate. yfinance_ticker is used by the
# pipeline to pull the REAL post-IPO drift path where the security is still listed.
name,ticker,yfinance_ticker,ipo_date,gross_proceeds_bn,greenshoe_bn,first_day_return,ret_1y_abs,sector,profitable_at_ipo,dual_class,lockup_days,note
SpaceX,SPCX,SPCX,2026-06-12,75.0,11.2,0.192,,Space/AI,N,Y,,The subject. ret_1y unknown (living).
Saudi Aramco,2222.SR,2222.SR,2019-12-11,25.6,3.8,0.10,0.06,Energy,Y,N,180,Prior record holder; domestic Tadawul listing.
Alibaba,BABA,BABA,2014-09-19,25.0,3.1,0.382,-0.12,E-commerce,Y,Y,90,VIE + partnership control structure.
SoftBank Corp,9434.T,9434.T,2018-12-19,23.5,0.0,-0.146,0.10,Telecom,Y,N,180,Telco unit carve-out; fell on debut.
NTT DoCoMo,9437.T,9437.T,1998-10-22,18.4,0.0,0.01,-0.10,Telecom,Y,N,180,Late-90s record; mobile carrier.
Visa,V,V,2008-03-18,17.9,1.8,0.282,-0.05,Payments,Y,Y,,Priced into the 2008 crisis; A/B/C classes.
Meta (Facebook),META,META,2012-05-18,16.0,0.0,0.006,-0.34,Tech,Y,Y,90,Flat debut then steep drawdown before recovery.
General Motors,GM,GM,2010-11-18,20.1,3.0,0.036,-0.25,Auto,Y,N,180,Post-bailout re-IPO; the bridge to Parts II-III.
AIA Group,1299.HK,1299.HK,2010-10-29,20.5,2.7,0.17,0.40,Insurance,Y,N,180,AIG's Asian unit; HK listing.
Glencore,GLEN.L,GLEN.L,2011-05-19,10.0,0.0,-0.03,-0.25,Commodities,Y,N,180,Top-of-cycle commodity listing.
Rivian,RIVN,RIVN,2021-11-10,13.7,2.1,0.29,-0.85,EV,N,Y,180,Pre-revenue EV; archetypal mega-IPO bust.
Uber,UBER,UBER,2019-05-10,8.1,0.0,-0.076,-0.33,Mobility,N,N,180,Loss-making platform; weak debut.
Snowflake,SNOW,SNOW,2020-09-16,3.9,0.5,1.116,1.50,Cloud,N,N,180,Largest software IPO; extreme first-day pop.
Arm Holdings,ARM,ARM,2023-09-14,4.87,0.7,0.247,1.10,Semis,Y,N,180,Profitable; AI-narrative re-rating in year one.
Reddit,RDDT,RDDT,2024-03-21,0.75,0.1,0.48,2.00,Social,N,Y,180,Small float; large post-IPO run.
Coupang,CPNG,CPNG,2021-03-11,4.55,0.6,0.407,-0.50,E-commerce,N,Y,180,Korea e-commerce; big pop then drawdown.
Airbnb,ABNB,ABNB,2020-12-10,3.5,0.5,1.128,1.50,Travel,N,Y,180,Pandemic-era debut; doubled on day one.
Lucid Motors,LCID,LCID,2021-07-26,4.4,0.0,0.11,-0.55,EV,N,N,180,Representative de-SPAC (via CCIV) for contrast.
